age,utme_score,post_utme_score,olevel_points,subject_relevance,catchment_category,course_choice,interview_score,admission_status
22,257.0,70.9,33.0,0.84,Non-Catchment,First Choice,100.0,1
19,161.0,57.5,41.0,0.77,Non-Catchment,Second Choice,47.5,1
23,142.0,75.6,38.0,0.24,Catchment,First Choice,60.3,0
20,220.0,31.9,34.0,0.59,Non-Catchment,First Choice,61.6,0
22,202.0,25.1,27.0,0.82,Catchment,First Choice,74.0,0
18,245.0,58.9,25.0,0.41,Catchment,Second Choice,77.6,0
22,269.0,59.1,37.0,0.63,Non-Catchment,First Choice,81.2,0
23,244.0,4.9,31.0,0.85,ELDS,Second Choice,79.8,0
20,266.0,45.6,39.0,0.4,Catchment,First Choice,30.4,0
19,234.0,39.9,25.0,0.36,Non-Catchment,First Choice,7.7,0
23,242.0,34.1,45.0,0.4,Catchment,First Choice,49.7,1
23,215.0,39.8,39.0,0.77,Non-Catchment,First Choice,59.3,1
18,241.0,63.9,36.0,0.59,Non-Catchment,First Choice,47.7,0
21,227.0,39.7,45.0,0.88,Catchment,First Choice,50.8,0
20,235.0,40.3,41.0,0.72,Catchment,Second Choice,53.3,0
17,212.0,30.7,32.0,1.0,Non-Catchment,First Choice,71.5,0
23,256.0,74.0,35.0,0.45,Catchment,First Choice,39.3,1
21,188.0,61.5,23.0,0.77,Catchment,First Choice,58.4,1
17,219.0,17.6,41.0,0.54,Non-Catchment,First Choice,58.6,0
20,279.0,40.3,33.0,0.82,Non-Catchment,First Choice,71.1,0
16,177.0,62.9,23.0,0.72,Non-Catchment,First Choice,83.2,0
21,123.0,74.2,28.0,0.5,Catchment,First Choice,93.7,1
24,236.0,67.6,40.0,0.67,Non-Catchment,First Choice,45.1,1
16,208.0,49.7,45.0,0.71,Non-Catchment,First Choice,20.0,0
18,265.0,26.0,35.0,0.58,Catchment,First Choice,55.2,0
22,214.0,68.1,29.0,0.85,Non-Catchment,First Choice,28.2,0
19,193.0,50.5,26.0,0.49,Catchment,Second Choice,100.0,0
24,217.0,56.0,43.0,1.0,Non-Catchment,Second Choice,42.5,1
18,269.0,52.3,38.0,0.89,Non-Catchment,First Choice,71.3,1
20,246.0,34.7,33.0,0.77,Non-Catchment,First Choice,78.7,1
18,110.0,60.5,32.0,1.0,Catchment,Second Choice,66.8,0
22,228.0,58.4,39.0,0.64,Catchment,First Choice,100.0,1
20,231.0,48.6,39.0,0.82,Non-Catchment,First Choice,56.0,0
24,219.0,62.1,30.0,0.74,Non-Catchment,First Choice,43.3,0
22,193.0,34.4,28.0,0.86,Catchment,Second Choice,42.3,0
17,274.0,51.0,28.0,1.0,Catchment,First Choice,75.0,1
19,276.0,55.4,32.0,0.81,Catchment,First Choice,56.2,1
24,121.0,29.0,31.0,0.91,Non-Catchment,First Choice,42.3,0
17,184.0,54.1,45.0,0.59,Catchment,Second Choice,68.8,0
24,213.0,66.0,32.0,0.66,Non-Catchment,First Choice,74.2,1
20,263.0,50.5,28.0,1.0,Catchment,Second Choice,65.4,1
17,222.0,54.5,28.0,0.82,Non-Catchment,Second Choice,78.0,0
19,189.0,63.4,34.0,0.75,Catchment,First Choice,61.8,1
22,252.0,49.2,24.0,0.55,Non-Catchment,First Choice,48.1,0
23,210.0,50.5,35.0,0.89,Catchment,First Choice,76.2,0
18,215.0,37.3,27.0,0.54,Catchment,Second Choice,42.2,0
16,219.0,54.8,42.0,0.48,Non-Catchment,First Choice,37.4,0
19,246.0,50.0,36.0,0.72,Catchment,Second Choice,83.1,1
17,206.0,62.5,45.0,0.22,Catchment,First Choice,53.0,1
23,251.0,63.5,34.0,0.82,Non-Catchment,First Choice,93.3,1
19,217.0,66.9,16.0,0.78,Non-Catchment,First Choice,77.1,0
17,172.0,47.4,44.0,0.63,Catchment,First Choice,51.5,0
21,218.0,22.4,38.0,0.65,Non-Catchment,Second Choice,69.7,0
21,174.0,66.1,39.0,0.68,Non-Catchment,First Choice,100.0,0
19,222.0,61.5,29.0,0.54,Catchment,First Choice,75.1,0
21,257.0,45.5,35.0,0.74,ELDS,First Choice,71.6,1
17,172.0,63.3,36.0,0.65,Non-Catchment,First Choice,48.1,0
17,236.0,33.3,34.0,0.72,ELDS,First Choice,96.9,0
19,183.0,70.5,25.0,0.67,Catchment,First Choice,86.4,0
23,229.0,50.0,45.0,0.63,Catchment,Second Choice,48.3,0
22,259.0,42.6,40.0,0.76,Non-Catchment,First Choice,97.6,1
24,124.0,45.7,38.0,0.86,Non-Catchment,First Choice,63.3,0
23,170.0,51.5,43.0,0.6,Catchment,First Choice,43.2,1
20,203.0,54.8,39.0,0.78,Non-Catchment,First Choice,48.0,1
17,234.0,55.7,31.0,0.8,Non-Catchment,First Choice,77.6,1
20,213.0,48.6,42.0,0.44,Non-Catchment,Second Choice,43.3,0
23,218.0,58.0,40.0,0.9,Non-Catchment,First Choice,37.9,0
24,312.0,55.1,31.0,1.0,Non-Catchment,First Choice,51.2,0
24,165.0,45.3,40.0,0.68,Catchment,First Choice,54.2,1
16,271.0,43.0,34.0,0.67,ELDS,First Choice,46.5,1
24,204.0,64.1,36.0,0.66,Catchment,Second Choice,50.9,0
22,245.0,62.9,39.0,0.82,Catchment,First Choice,78.3,1
24,316.0,55.9,43.0,0.8,Non-Catchment,First Choice,65.1,1
23,251.0,68.9,31.0,0.38,ELDS,First Choice,49.7,0
16,237.0,25.6,37.0,0.53,Non-Catchment,Second Choice,51.4,0
23,292.0,46.5,45.0,0.8,Non-Catchment,Second Choice,57.4,1
23,271.0,37.7,34.0,0.67,Non-Catchment,First Choice,58.5,0
18,184.0,88.8,36.0,0.47,ELDS,First Choice,58.6,1
16,233.0,65.7,45.0,1.0,Catchment,Second Choice,77.6,1
23,143.0,53.8,39.0,0.54,Non-Catchment,First Choice,63.9,0
18,196.0,66.8,26.0,0.71,Non-Catchment,First Choice,64.5,0
18,234.0,71.7,30.0,0.67,Catchment,First Choice,88.5,1
16,193.0,71.6,39.0,0.48,Non-Catchment,Second Choice,97.5,1
20,232.0,68.8,38.0,0.74,Non-Catchment,First Choice,35.4,0
22,219.0,51.1,36.0,0.78,Non-Catchment,First Choice,28.4,0
24,244.0,47.5,45.0,0.61,Catchment,Second Choice,53.0,1
22,201.0,40.6,31.0,0.63,Non-Catchment,First Choice,75.7,0
24,178.0,62.5,35.0,0.82,Catchment,Second Choice,67.5,0
23,287.0,52.6,23.0,0.3,Non-Catchment,First Choice,81.1,0
17,198.0,48.7,42.0,0.53,Non-Catchment,Second Choice,52.2,0
16,250.0,47.9,30.0,0.74,Non-Catchment,First Choice,20.9,1
22,285.0,76.8,41.0,0.59,Catchment,First Choice,32.7,1
22,227.0,69.3,41.0,0.59,Catchment,First Choice,71.3,1
23,181.0,82.5,45.0,0.88,Non-Catchment,First Choice,81.2,1
20,212.0,62.9,39.0,0.57,ELDS,First Choice,21.9,0
18,266.0,55.9,33.0,1.0,ELDS,First Choice,88.2,1
23,229.0,54.6,38.0,0.35,Non-Catchment,First Choice,69.3,1
21,166.0,39.7,30.0,0.26,Catchment,First Choice,58.6,0
18,247.0,36.1,37.0,0.88,Catchment,First Choice,47.5,0
16,255.0,62.6,34.0,0.5,Catchment,First Choice,91.8,1
18,204.0,41.0,35.0,0.51,Catchment,First Choice,77.9,1
20,247.0,58.2,30.0,0.9,Catchment,Second Choice,69.8,1
18,231.0,71.7,37.0,0.6,Catchment,First Choice,45.4,1
